WINTER TERM PROFESSORS,WINTER TERM CLASSES,0,BLDNG,BLDNG NUM
-,ACCOUNTING COURSES,0,-,-
lemmond,Principles of Accounting I (ACCT& 201 - ONLINE),4000,ONL,ONL
walsh,Principles of Accounting I (ACCT& 201),4001,SHL,216
walsh,Principles of Accounting I (ACCT& 201),4002,SHL,216
duback,Principles of Accounting I (ACCT& 201),4003,SHL,216
lemmond,Principles of Accounting II (ACCT& 202 - ONLINE),4004,ONL,ONL
lemmond,Principles of Accounting II (ACCT& 202),4005,SHL,103
staff,Principles of Accounting II (ACCT& 202),4006,JSH,120
duback,Principles of Accounting II (ACCT& 202),4007,SHL,216
lemmond,Principles of Accounting III (ACCT& 203),4008,SHL,103
-,ADDICTION COUNSELOR EDUCATION COURSES,0,-,-
roi,Intro to Addictions Counseling Skills (ACED 122),4009,HHL,109
wissusik,Group Counseling in Addictions (ACED 125),4010,HHL,109
roi,Law and Ethics in Addictions Counseling (ACED 136),4011,HHL,106
jensen,Adolescent Addiction Assessment & Treatment (ACED 136),4012,HHL,101
kroll,Air/Blood Borne Pathogens (ACED 170),4013,HHL,102
jensen,Field Placement I (ACED 210),4014,FHL,107
jensen,Field Placement II (ACED 211),4015,FHL,107
-,ANTHROPOLOGY COURSES,0,-,-
cornett,Archaeology (ANTH& 204),4016,HHL,117
fancher,Cultural Anthropology (ANTH& 206 - ONLINE),4017,ONL,ONL
fancher,Cultural Anthropology (ANTH& 206),4018,HHL,118
fancher,Cultural Anthropology (ANTH& 206),4019,APH,114
schubert,Bioanthropology (ANTH& 215),4020,HHL,117
schubert,Bioanthropology (ANTH& 215),4021,HHL,117
schubert,Bioanthropology (ANTH& 215),4022,HHL,117
schubert,Bioanthropology (ANTH& 215),4023,HHL,117
schubert,Bioanthropology (ANTH& 215),4024,HHL,117
schubert,Bioanthropology (ANTH& 215),4025,HHL,117
schubert,Bioanthropology (ANTH& 215),4026,HHL,117
schubert,Bioanthropology (ANTH& 215),4027,HHL,117
schubert,Bioanthropology (ANTH& 215),4028,HHL,117
schubert,Bioanthropology (ANTH& 215),4029,HHL,117
schubert,Primatology (ANTH& 245),4030,HHL,117
-,ART COURSES,0,-,-
cooper,Drawing I (ART 103),4031,FAC,107
cooper,Drawing I (ART 103),4032,FAC,107
cooper,Drawing I (ART 103),4033,FAC,107
jarzombeki,Drawing I (ART 103),4034,FAC,107
rosenberg,Drawing I (ART 103),4035,FAC,107
rosenberg,Drawing I (ART 103),4036,FAC,107
hottle,Drawing I (ART 103),4037,FAC,107
ramin,Drawing I (ART 103),4038,FAC,107
cooper,Drawing I (ART 103),4039,FAC,107
jarzombeki,Drawing I (ART 103),4040,FAC,107
hottle,Observational Drawing (ART 104),4041,FAC,108
gilley,Creativity & Concept (ART 110),4042,AA4,117
jarzombeki,Two-Dimensional Design (ART 115),4043,FAC,103
ramin,Two-Dimensional Design (ART 115),4044,AA4,117
rosenberg,Two-Dimensional Design (ART 115),4045,FAC,103
friedman,Color Theory and Design (ART 116),4046,FAC,103
gilley,Time-Based Art & Design (ART 118),4047,AA4,101
abrahamson,Photo Storytelling (ART 131),4048,AA4,101
